video_id;youtube_id;start_time;end_time;target_fps;gender;playback_speed;club;view;notes;source
swing_001;zwKLTWuXeFc;00:00:03.1;00:00:06.0;15;male;slowmo;iron;dtl;dustin_johnson;yt
swing_002;svqlvK6M7gQ;00:01:01.6;00:01:04.3;15;male;slowmo;iron;dtl;viktor_hovland;yt
swing_003;PFUC4DWEGXw;00:00:04.5;00:00:09.1;15;male;slowmo;iron;dtl;colin_morikawa;yt
swing_004;rDDuYNSFXF8;00:00:12.0;00:00:14.0;30;male;fullspeed;iron;dtl;justin_thomas_1;yt
swing_005;Cm4EE-o9zHk;00:00:19.6;00:00:21.5;30;female;fullspeed;iron;dtl;sei_young_kim;yt
swing_006;lXPXAgpqLZI;00:00:14.5;00:00:16.3;30;male;fullspeed;iron;dtl;luke_donald;yt
swing_007;sbBCFulU2Iw;00:00:23.5;00:00:25.7;30;female;fullspeed;iron;dtl;ariya_jutanugarn;yt
swing_008;rN_1I4gFMtQ;00:00:00.0;00:00:05.9;15;male;slowmo;iron;dtl;ludwig_aberg_1;yt_shorts
swing_009;ydHFNevEMRo;00:00:00.0;00:00:05.9;15;male;slowmo;iron;dtl;martin_kaymer;yt_shorts
swing_010;v-vaBl6li0k;00:00:13.8;00:00:15.5;30;male;fullspeed;iron;dtl;sean_ohair;yt
swing_011;nOdtwSRWNhc;00:00:00.0;00:00:06.0;15;male;slowmo;iron;dtl;scottie_scheffler;yt_shorts
swing_012;5ybddBNt26I;00:00:00.0;00:00:06.0;15;female;slowmo;iron;dtl;nelly_korda;yt_shorts
swing_013;2hG2i0_EKTg;00:00:01.0;00:00:12.0;15;male;slowmo;iron;dtl;adam_scott;yt_shorts
swing_014;In8VCWt10RQ;00:00:00.0;00:00:10.0;15;male;slowmo;iron;dtl;bryson_dechambaeu;yt_shorts
swing_015;nJlwgI8hn4I;00:00:00.0;00:00:03.0;30;male;fullspeed;iron;dtl;daekwon_lee;yt_shorts
swing_016;ikT3jCvJ2wI;00:00:00.0;00:00:06.0;15;male;slowmo;iron;dtl;justin_thomas_2;yt_shorts
swing_017;lOBfaW91iII;00:00:01.0;00:00:20.0;15;female;slowmo;wood;dtl;anna_nordqvist;yt
swing_018;9oDhWSlXA6A;00:00:00.0;00:00:13.0;15;female;slowmo;iron;dtl;nelly_korda_2;yt_shorts
swing_019;Sw1jCHgKsgs;00:00:23.7;00:00:25.8;30;female;fullspeed;iron;dtl;alisson_lee;yt
swing_020;5X2PAjc5mng;00:00:19.2;00:00:20.9;15;female;slowmo;iron;dtl;brooke_henderson;yt
swing_021;3fgQIb7cdhA;00:00:31.3;00:00:32.7;15;male;slowmo;driver;dtl;sergio_garcia;yt
swing_022;31p1YZI_mrc;00:00:10.0;00:00:12.0;15;male;slowmo;iron;dtl;kiradech_alphibarnrat;yt
swing_023;xMlz2gmivv8;00:00:06.7;00:00:08.8;15;female;slowmo;driver;dtl;lydia_ko;yt
swing_024;FBskzbHihlw;00:00:16.0;00:00:18.1;30;female;fullspeed;driver;dtl;jessiva_korda;yt
swing_025;aB__zg42i9g;00:00:00.0;00:00:12.0;15;male;slowmo;iron;dtl;max_homa;yt_shorts
swing_026;yMHZs_opTyk;00:00:00.0;00:00:10.0;15;male;slowmo;iron;dtl;jason_day;yt_shorts
swing_027;uixgvYz8qYY;00:00:00.0;00:00:09.0;15;male;slowmo;driver;dtl;ludwig_aberg_2;yt_shorts
swing_028;hb83yVEUo38;00:00:09.0;00:00:12.9;30;female;fullspeed;driver;dtl;so_yeon_ryu;yt
swing_029;f243G2yjCbM;00:00:18.0;00:00:20.7;30;male;fullspeed;driver;dtl;billy_andrade;yt
swing_030;Ts_StRfgOwY;00:00:03.5;00:00:06.5;30;female;fullspeed;driver;dtl;michelle_wie;yt
swing_031;HT5C8bL5Kmc;00:00:13.0;00:00:15.2;15;female;slowmo;driver;dtl;karrie_webb;yt
swing_032;;;;;;;;;;
swing_033;;;;;;;;;;
swing_034;;;;;;;;;;
swing_035;;;;;;;;;;
swing_036;;;;;;;;;;
swing_037;;;;;;;;;;
swing_038;;;;;;;;;;
swing_039;;;;;;;;;;
swing_040;;;;;;;;;;
swing_041;;;;;;;;;;
swing_042;;;;;;;;;;
swing_043;;;;;;;;;;
swing_044;;;;;;;;;;
swing_045;;;;;;;;;;
swing_046;;;;;;;;;;
swing_047;;;;;;;;;;
swing_048;;;;;;;;;;
swing_049;;;;;;;;;;
swing_050;;;;;;;;;;
swing_051;;;;;;;;;;
swing_052;;;;;;;;;;
swing_053;;;;;;;;;;
swing_054;;;;;;;;;;
swing_055;;;;;;;;;;
swing_056;;;;;;;;;;
swing_057;;;;;;;;;;
swing_058;;;;;;;;;;
swing_059;;;;;;;;;;
swing_060;;;;;;;;;;
swing_061;;;;;;;;;;
swing_062;;;;;;;;;;
swing_063;;;;;;;;;;
swing_064;;;;;;;;;;
swing_065;;;;;;;;;;
swing_066;;;;;;;;;;
swing_067;;;;;;;;;;
